Shipsure Account Description,Level,Shipsure Account Number,Account Type,HFM Account Number,HFM Account Description,,,,
Lease Comm Disposals,4,1100802,Balance Sheet,BS10150,Leasehold Improvement Cost ,,,,
Lease Comm Revaluations,4,1100803,Balance Sheet,BS10150,Leasehold Improvement Cost ,,,,
Lease Comm Ex Fluct,4,1100804,Balance Sheet,BS10150,Leasehold Improvement Cost ,,,,
Lease Comm Interco Trans,4,1100805,Balance Sheet,BS10150,Leasehold Improvement Cost ,,,,
Other Op Bal,4,1100900,Balance Sheet,BS10410,Assets Under Construction,,,,
Other Additions,4,1100901,Balance Sheet,BS10410,Assets Under Construction,,,,
Other Disposals,4,1100902,Balance Sheet,BS10410,Assets Under Construction,,,,
Other Revaluations,4,1100903,Balance Sheet,BS10410,Assets Under Construction,,,,
Other Ex Fluct,4,1100904,Balance Sheet,BS10410,Assets Under Construction,,,,
Other Interco Trans,4,1100905,Balance Sheet,BS10410,Assets Under Construction,,,,
Land & Build Dep Op Bal,4,1110100,Balance Sheet,BS10522,Buildings Accum Depreciation,,,,
Land & Build Ex Fluct,4,1110101,Balance Sheet,BS10522,Buildings Accum Depreciation,,,,
Land & Build Dep Cur Yr,4,1110102,Balance Sheet,BS10522,Buildings Accum Depreciation,,,,
Land & Build Release on Disp,4,1110103,Balance Sheet,BS10522,Buildings Accum Depreciation,,,,
Land & Build Dep - Interco,4,1110104,Balance Sheet,BS10522,Buildings Accum Depreciation,,,,
Off & Bus Equip Dep Op Bal,4,1110200,Balance Sheet,BS10530,Office and Bus Equip Depreciation ,,,,
Off & Bus Equip Ex Fluct,4,1110201,Balance Sheet,BS10530,Office and Bus Equip Depreciation ,,,,
Off & Bus Equip Dep Cur Yr,4,1110202,Balance Sheet,BS10530,Office and Bus Equip Depreciation ,,,,
Off & Bus Equip Release on Dis,4,1110203,Balance Sheet,BS10530,Office and Bus Equip Depreciation ,,,,
Off & Bus Equip Dep - Interco,4,1110204,Balance Sheet,BS10530,Office and Bus Equip Depreciation ,,,,
Off Fittings Dep Op Bal,4,1110300,Balance Sheet,BS10530,Office and Bus Equip Depreciation ,,,,
Off Fittings Ex Fluct,4,1110301,Balance Sheet,BS10530,Office and Bus Equip Depreciation ,,,,
Off Fittings Dep Cur Yr,4,1110302,Balance Sheet,BS10530,Office and Bus Equip Depreciation ,,,,
Off Fittings Release on Disp,4,1110303,Balance Sheet,BS10530,Office and Bus Equip Depreciation ,,,,
Off Fittings Dep - Interco,4,1110304,Balance Sheet,BS10530,Office and Bus Equip Depreciation ,,,,
Off Furniture Dep Op Bal,4,1110400,Balance Sheet,BS10540,Office Furniture and Fittings Depreciation ,,,,
Off Furniture Ex Fluct,4,1110401,Balance Sheet,BS10540,Office Furniture and Fittings Depreciation ,,,,
Off Furniture Dep Cur Yr,4,1110402,Balance Sheet,BS10540,Office Furniture and Fittings Depreciation ,,,,
Off Furniture Release on Disp,4,1110403,Balance Sheet,BS10540,Office Furniture and Fittings Depreciation ,,,,
Off Furniture Dep - Interco,4,1110404,Balance Sheet,BS10540,Office Furniture and Fittings Depreciation ,,,,
Motor Veh Dep Op Bal,4,1110500,Balance Sheet,BS10610,Motor Vehicle Depreciation ,,,,
Motor Veh Ex Fluct,4,1110501,Balance Sheet,BS10610,Motor Vehicle Depreciation ,,,,
Motor Veh Dep Cur Yr,4,1110502,Balance Sheet,BS10610,Motor Vehicle Depreciation ,,,,
Motor Veh Release on Disp,4,1110503,Balance Sheet,BS10610,Motor Vehicle Depreciation ,,,,
Motor Veh Dep - Interco,4,1110504,Balance Sheet,BS10610,Motor Vehicle Depreciation ,,,,
Finance Lease Assets Dep,4,1110550,Balance Sheet,BS10610,Motor Vehicle Depreciation ,,,,
Finance Lease Ex Fluct,4,1110551,Balance Sheet,BS10610,Motor Vehicle Depreciation ,,,,
Finance Lease Dep Cur Yr,4,1110552,Balance Sheet,BS10610,Motor Vehicle Depreciation ,,,,
Finance Lease Release on Disp ,4,1110553,Balance Sheet,BS10610,Motor Vehicle Depreciation ,,,,
Finance Lease Dep - Interco,4,1110554,Balance Sheet,BS10610,Motor Vehicle Depreciation ,,,,
IT Hardware Dep Op Bal,4,1110600,Balance Sheet,BS10560,IT Hardware Depreciation ,,,,
IT Hardware Ex Fluct,4,1110601,Balance Sheet,BS10560,IT Hardware Depreciation ,,,,
IT Hardware Dep Cur Yr,4,1110602,Balance Sheet,BS10560,IT Hardware Depreciation ,,,,
IT Hardware Release on Disp,4,1110603,Balance Sheet,BS10560,IT Hardware Depreciation ,,,,
IT Hardware Dep - Interco,4,1110604,Balance Sheet,BS10560,IT Hardware Depreciation ,,,,
IT Software Dep Op Bal,4,1110700,Balance Sheet,BS11510,IT Software Amortisation,,,,
IT Software Ex Fluct,4,1110701,Balance Sheet,BS11510,IT Software Amortisation,,,,
IT Software Dep Cur Yr,4,1110702,Balance Sheet,BS11510,IT Software Amortisation,,,,
IT Software Release on Disp,4,1110703,Balance Sheet,BS11510,IT Software Amortisation,,,,
IT Software Dep - Interco,4,1110704,Balance Sheet,BS11510,IT Software Amortisation,,,,
Lease Comm Dep Op Bal,4,1110800,Balance Sheet,BS10550,Leasehold Improvement Depreciation,,,,
Lease Comm Ex Fluct,4,1110801,Balance Sheet,BS10550,Leasehold Improvement Depreciation,,,,
Lease Comm Dep Cur Yr,4,1110802,Balance Sheet,BS10550,Leasehold Improvement Depreciation,,,,
Lease Comm Release on Disp,4,1110803,Balance Sheet,BS10550,Leasehold Improvement Depreciation,,,,
Lease Comm Dep - Interco,4,1110804,Balance Sheet,BS10550,Leasehold Improvement Depreciation,,,,
IT Other Dep Op Bal,4,1110900,N/A,Do Not Use,0,,,,
IT Other Ex Fluct,4,1110901,N/A,Do Not Use,0,,,,
IT Other Dep Cur Yr,4,1110902,N/A,Do Not Use,0,,,,
IT Other Release on Disp,4,1110903,N/A,Do Not Use,0,,,,
IT Other Dep - Interco,4,1110904,N/A,Do Not Use,0,,,,
Assets Under Course of Constru,3,1120000,Balance Sheet,BS10410,Assets Under Construction,,,,
Right-To-Use Buildings Cost,4,1125100,Balance Sheet,BS09103,Right-to-use Buildings Cost,,,,
Right-To-Use Building Addition,4,1125101,Balance Sheet,BS09103,Right-to-use Buildings Cost,,,,
Right-To-Use Building Terminat,4,1125102,Balance Sheet,BS09103,Right-to-use Buildings Cost,,,,
Right-To-Use Land Cost,4,1125150,Balance Sheet,BS09102,Right-to-use Land Cost,,,,
Right-To-Use Land Additions,4,1125151,Balance Sheet,BS09102,Right-to-use Land Cost,,,,
Right-To-Use Land Terminations,4,1125152,Balance Sheet,BS09102,Right-to-use Land Cost,,,,
Right-To-Use Off Bus Equip Cos,4,1125200,Balance Sheet,BS09130,Right-to-use Office and Business Equipment Cost,,,,
Right-To-Use Off Bus Equip Add,4,1125201,Balance Sheet,BS09130,Right-to-use Office and Business Equipment Cost,,,,
Right-To-Use Off Bus Equip Ter,4,1125202,Balance Sheet,BS09130,Right-to-use Office and Business Equipment Cost,,,,
Right To-Use Motor Vehicle Cos,4,1125500,Balance Sheet,BS09210,Right-to-use Motor Vehicle Cost,,,,
Right-To-Use Motor Vehicle Add,4,1125501,Balance Sheet,BS09210,Right-to-use Motor Vehicle Cost,,,,
Right-To-Use Motor Vehicle Ter,4,1125502,Balance Sheet,BS09210,Right-to-use Motor Vehicle Cost,,,,
Goodwill - Opening Balance,4,1130000,Balance Sheet,BS11120,Goodwill ,,,,
Goodwill - Additions,4,1130001,Balance Sheet,BS11120,Goodwill ,,,,
Goodwill - Disposals,4,1130002,Balance Sheet,BS11120,Goodwill ,,,,
Goodwill - Impairment,4,1130003,Balance Sheet,BS11120,Goodwill ,,,,
Goodwill - Ex Fluct,4,1130004,Balance Sheet,BS11120,Goodwill ,,,,
Goodwill Amortisation /Impairm,4,1130050,Balance Sheet,BS11120,Goodwill ,,,,
CONTRACT RIGHTS,4,1130100,Balance Sheet,BS11130,Contract Rights Cost ,,,,
Customer Relationships Cost,4,1130110,Balance Sheet,BS11130,Contract Rights Cost ,,,,
Brands Cost,4,1130120,Balance Sheet,BS11150,Brands Cost,,,,
Licenses Cost,4,1130130,Balance Sheet,BS11160,Licenses Cost,,,,
Intellectual Property Rights C,4,1130140,Balance Sheet,BS11170,Intellectual Property Rights Cost,,,,
Contract Rights Amortisation  ,4,1130150,Balance Sheet,BS11530,Contract Rights Amortisation ,,,,
Customer Relationships Amortis,4,1130160,Balance Sheet,BS11540,Customer Relationships Amortisation,,,,
Brands Amortisation,4,1130170,Balance Sheet,BS11550,Brands Amortisation,,,,
Licenses Amortisation,4,1130180,Balance Sheet,BS11560,Licenses Amortisation,,,,
Intellectual Property Rights A,4,1130190,Balance Sheet,BS11570,Intellectual Property Rights Amortisation,,,,
Other Intan Assets - Op Bal,4,1130200,Balance Sheet,BS11180,Other Intangible Assets Cost,,,,
Other Intan Assets - Additions,4,1130201,Balance Sheet,BS11180,Other Intangible Assets Cost,,,,
Other Intan Assets - Disposals,4,1130202,Balance Sheet,BS11180,Other Intangible Assets Cost,,,,
Other Intan Assets - Ex Fluct,4,1130203,Balance Sheet,BS11180,Other Intangible Assets Cost,,,,
Other Intan Assets - Amort Op,4,1130900,Balance Sheet,BS11580,Other Intangible Assets Amortisation,,,,
Other Intan Assets - Amort Cur,4,1130901,Balance Sheet,BS11580,Other Intangible Assets Amortisation,,,,
Other Intan. Assets - Release,4,1130902,Balance Sheet,BS11580,Other Intangible Assets Amortisation,,,,
Other Intan Assets. Ex Fluct,4,1130903,Balance Sheet,BS11580,Other Intangible Assets Amortisation,,,,
INTEREST IN ASSOCIATED COMP.,4,1131010,Balance Sheet,BS12001,Investments in Assocs,,,,
Assoc Company Additions,4,1131011,Balance Sheet,BS12001,Investments in Assocs,,,,
Assoc Company Disposals,4,1131012,Balance Sheet,BS12001,Investments in Assocs,,,,
Assoc Company Share of Result,4,1131013,Balance Sheet,BS12001,Investments in Assocs,,,,
Assoc Company Ex Fluct,4,1131014,Balance Sheet,BS12001,Investments in Assocs,,,,
INTEREST IN SUBSIDIARY COMP.,4,1131020,Balance Sheet,BS12010,Investments in Subsidiaries,,,,
Interest Subsid Additions,4,1131021,Balance Sheet,BS12010,Investments in Subsidiaries,,,,
Interest Subsid Disposals,4,1131022,Balance Sheet,BS12010,Investments in Subsidiaries,,,,
Interest Subsid Interco Trans,4,1131023,Balance Sheet,BS12010,Investments in Subsidiaries,,,,
Interest Subsid Ex Fluct,4,1131024,Balance Sheet,BS12010,Investments in Subsidiaries,,,,
Other Investments,3,1131099,Balance Sheet,BS25800,Other Investments,,,,
Investments in JVs,3,1136000,Balance Sheet,BS12050,Investments in JVs,,,,
Held to Maturity Investments,3,1136100,Balance Sheet,BS12100,Held to Maturity Investments,,,,
Available for Sale Investments,3,1136200,Balance Sheet,BS12200,Investments FVOCI,,,,
Financial Investments Total,3,1136300,Balance Sheet,BS13000,Financial Investments Total,,,,
Non Current Interest Rate Hedg,3,1136400,Balance Sheet,BS13100,Non Current Interest Rate Hedges,,,,
FX Derivate Asset Non Current ,3,1136500,Balance Sheet,BS13200,FX Derivative Asset Non Current,,,,
Other Long Term Derivatives,3,1136600,Balance Sheet,BS13300,Other Long Term Derivatives,,,,
Other Long Term Investments,3,1136700,Balance Sheet,BS13400,Other Long Term Investments,,,,
Long Term Loans Receivable Ext,3,1146000,Balance Sheet,BS14100,Long Term Loans Receivable External,,,,
Long Term Loans Receivable Int,3,1146001,Intercompany BS,BS14200,Long Term Loans Receivable Intercompany,,,,
Trade Receivables Non-Current ,3,1156000,Balance Sheet,BS16100,Trade Receivables Non-Current,,,,
Other Non Trade Receivables No,3,1156100,Balance Sheet,BS16200,Other Non Trade Receivables Non-Current,,,,
Deferred Tax Asset,3,1156200,Balance Sheet,BS16300,Deferred Tax Asset,,,,
Retirement Benefit Surplus,3,1156300,Balance Sheet,BS17000,Retirement Benefit Surplus,,,,
Contingent Consideration FVTPL,3,1156400,Balance Sheet,BS15200,Contingent Consideration FVTPL (Asset) ,,,,
Sales Ledger Control Account,3,1200000,Balance Sheet,BS20101,Trade Debtors,,,,
Historic Sales Ledger Account,3,1200010,N/A,Do Not Use,0,,,,
Interco Sales Ledger Control A,3,1210000,Intercompany BS,BS26100,Intercompany Trade Receivables,,,,
Office Cash Account - USD,3,1210100,Balance Sheet,BS28300,Other Bank Balances,,,,
Office Cash Account - GBP,3,1210101,Balance Sheet,BS28300,Other Bank Balances,,,,
Office Cash Account - EUR,3,1210102,Balance Sheet,BS28300,Other Bank Balances,,,,
Office Cash Account - SGD,3,1210103,Balance Sheet,BS28300,Other Bank Balances,,,,
Seasquad Dubai Cash A/c,3,1210104,Balance Sheet,BS28300,Other Bank Balances,,,,
Office Cash Account - NOK,3,1210105,Balance Sheet,BS28300,Other Bank Balances,,,,
Office Cash Account - CHF,3,1210106,Balance Sheet,BS28300,Other Bank Balances,,,,
Office Cash Account - AED,3,1210107,Balance Sheet,BS28300,Other Bank Balances,,,,
Office Cash Account - SEK,3,1210108,Balance Sheet,BS28300,Other Bank Balances,,,,
Office Cash Account - CNY,3,1210109,Balance Sheet,BS28300,Other Bank Balances,,,,
Office Cash Account - CAD,3,1210110,Balance Sheet,BS28400,Petty Cash Bank Balances,,,,
Mumbai Cash Account - INR,3,1210111,Balance Sheet,BS28400,Petty Cash Bank Balances,,,,
Chandigardh Cash Account - INR,3,1210112,Balance Sheet,BS28400,Petty Cash Bank Balances,,,,
Chennai Cash Account - INR,3,1210113,Balance Sheet,BS28400,Petty Cash Bank Balances,,,,
Delhi Cash Account - INR,3,1210114,Balance Sheet,BS28400,Petty Cash Bank Balances,,,,
Kochi Cash Account - INR,3,1210115,Balance Sheet,BS28400,Petty Cash Bank Balances,,,,
Kolkatta Cash Account - INR,3,1210116,Balance Sheet,BS28400,Petty Cash Bank Balances,,,,
Office Cash Account - PHP,3,1210117,Balance Sheet,BS28400,Petty Cash Bank Balances,,,,
Office Cash Account - BHD,3,1210118,Balance Sheet,BS28400,Petty Cash Bank Balances,,,,
Office Cash Account - BDT,3,1210119,Balance Sheet,BS28400,Petty Cash Bank Balances,,,,
Office Cash Account - BGN,3,1210120,Balance Sheet,BS28400,Petty Cash Bank Balances,,,,
Office Cash Account - AUD,3,1210121,Balance Sheet,BS28400,Petty Cash Bank Balances,,,,
Office Cash Account - TRL,3,1210122,Balance Sheet,BS28400,Petty Cash Bank Balances,,,,
Office Cash Account - RUR,3,1210123,Balance Sheet,BS28400,Petty Cash Bank Balances,,,,
Office Cash Account - PGK,3,1210124,Balance Sheet,BS28400,Petty Cash Bank Balances,,,,
Office Cash Account - PLN,3,1210125,Balance Sheet,BS28400,Petty Cash Bank Balances,,,,
Office Cash Account - MXN,3,1210126,Balance Sheet,BS28400,Petty Cash Bank Balances,,,,
Office Cash Account - BRL,3,1210127,Balance Sheet,BS28400,Petty Cash Bank Balances,,,,
Karachi Cash Account - PKR,3,1210128,Balance Sheet,BS28400,Petty Cash Bank Balances,,,,
Office Cash Account - HRK,3,1210129,Balance Sheet,BS28400,Petty Cash Bank Balances,,,,
Office Cash Account - TRY,3,1210130,Balance Sheet,BS27100,Client Accounts,,,,
Mumbai Training Centre Cash Ac,3,1210131,Balance Sheet,BS28400,Petty Cash Bank Balances,,,,
Office Cash Account MYR,3,1210132,Balance Sheet,BS28400,Petty Cash Bank Balances,,,,
Office Cash Account KRW,3,1210133,Balance Sheet,BS28400,Petty Cash Bank Balances,,,,
Citibank London - USD A/C,3,1211000,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank London - GBP A/C,3,1211001,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank London - EUR A/c,3,1211002,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank Monaco - USD A/c,3,1211003,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank London - EUR A/c,3,1211004,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank London - CHF A/c,3,1211005,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank - USD A/c #2,3,1211010,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank - USD A/c #3,3,1211011,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank London - GBP A/c #2,3,1211012,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank London - NOK,3,1211013,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank Singapore - USD A/c,3,1211014,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank Singapore - SGD A/c,3,1211015,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank Shanghai - USD,3,1211016,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank London - USD A/c #4,3,1211017,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank London - EUR #2,3,1211018,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank Singapore USD A/c 2,3,1211019,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank London EUR A/c #3,3,1211020,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank London - SGD,3,1211021,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank Singapore - Eur A/c,3,1211022,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank Singapore - GBP,3,1211023,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank London - USD A/c #5,3,1211024,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank Australia - AUD,3,1211025,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank London - CAD,3,1211026,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank London - SWK,3,1211027,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank Korea - KRW,3,1211028,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank Korea - USD,3,1211029,Balance Sheet,BS28200,CITI Bank Balances,,,,
Bank of Voeletta - USD,3,1211030,Balance Sheet,BS28200,CITI Bank Balances,,,,
Bank of Voeletta - ML,3,1211031,Balance Sheet,BS28200,CITI Bank Balances,,,,
Bank of Voeletta - GBP,3,1211032,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank US - USD A/c,3,1211033,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank US - USD A/c 2,3,1211034,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank US - Deposit A/c,3,1211035,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank London - SGP A/C2,3,1211036,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank London - SEK,3,1211037,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank RUR,3,1211038,Balance Sheet,BS28200,CITI Bank Balances,,,,
Citibank ZAR,3,1211039,Balance Sheet,BS28200,CITI Bank Balances,,,,
BASISBANK,3,1211040,Balance Sheet,BS27100,Client Accounts,,,,
BASISBANK - EUR A/C,3,1211041,Balance Sheet,BS27100,Client Accounts,,,,
DnB Nord Bank - EUR,3,1211042,Balance Sheet,BS27100,Client Accounts,,,,
DnB Nord Bank - USD,3,1211043,Balance Sheet,BS27100,Client Accounts,,,,
Bank of Scotland - NOK,3,1211049,Balance Sheet,BS28300,Other Bank Balances,,,,
Bank of Scotland - USD,3,1211050,Balance Sheet,BS28300,Other Bank Balances,,,,
Bank of Scotland - GBP,3,1211051,Balance Sheet,BS28300,Other Bank Balances,,,,
Bank of Scotland - CAD,3,1211052,Balance Sheet,BS28300,Other Bank Balances,,,,
Bank of Scotland - EUR,3,1211053,Balance Sheet,BS28300,Other Bank Balances,,,,
Bank of Scotland (Jersey) - GB,3,1211054,Balance Sheet,BS28300,Other Bank Balances,,,,
Bank of Scotland (Jersey) - US,3,1211055,Balance Sheet,BS28300,Other Bank Balances,,,,
Bank of Scotland - CHF,3,1211056,Balance Sheet,BS28300,Other Bank Balances,,,,
CCF (EUR) #2,3,1211078,Balance Sheet,BS28300,Other Bank Balances,,,,
CCF (EUR) #3,3,1211079,Balance Sheet,BS28300,Other Bank Balances,,,,
CCF (EUR) #1,3,1211080,Balance Sheet,BS28300,Other Bank Balances,,,,
CCF (USD) #1,3,1211081,Balance Sheet,BS28300,Other Bank Balances,,,,
CCF (USD) #2,3,1211082,Balance Sheet,BS28300,Other Bank Balances,,,,
CCF (EUR) #4,3,1211083,Balance Sheet,BS28300,Other Bank Balances,,,,
Garanti Bankasi - Turkey - Eur,3,1211085,Balance Sheet,BS28300,Other Bank Balances,,,,
Garanti Bankasi - USD,3,1211086,Balance Sheet,BS28300,Other Bank Balances,,,,
Garanti Bankasi - TRY,3,1211087,Balance Sheet,BS28300,Other Bank Balances,,,,
Citibank Turkey TRY,3,1211089,Balance Sheet,BS28200,CITI Bank Balances,,,,
BANCPOST - EUR,3,1211090,Balance Sheet,BS28300,Other Bank Balances,,,,
BANKPOST - USD,3,1211091,Balance Sheet,BS28300,Other Bank Balances,,,,
BANCPOST - ROL,3,1211095,Balance Sheet,BS28300,Other Bank Balances,,,,
Bank of Cyprus - CYP,3,1211100,Balance Sheet,BS28300,Other Bank Balances,,,,
Bank of Cyprus - USD,3,1211120,Balance Sheet,BS28300,Other Bank Balances,,,,
Bank of Cyprus - GBP,3,1211121,Balance Sheet,BS28300,Other Bank Balances,,,,
Bank of Cyprus - Eur,3,1211122,Balance Sheet,BS28300,Other Bank Balances,,,,
St. PETERSBURG BANK - USD,3,1211130,Balance Sheet,BS27100,Client Accounts,,,,
BANQUE UNION CREDITLUGANO-EUR,3,1211140,Balance Sheet,BS28300,Other Bank Balances,,,,
BANQUE UNION CREDIT-LUGANO-USD,3,1211141,Balance Sheet,BS28300,Other Bank Balances,,,,
BANQUE UNION CREDIT-LUGANO-GBP,3,1211142,Balance Sheet,BS28300,Other Bank Balances,,,,
BANQUE UNION CREDIT-LUGANO-CHF,3,1211143,Balance Sheet,BS28300,Other Bank Balances,,,,
HSBC - INR,3,1211147,Balance Sheet,BS28300,Other Bank Balances,,,,
HSBC PARIS - USD,3,1211148,Balance Sheet,BS28300,Other Bank Balances,,,,
HSBC PARIS - EUR,3,1211149,Balance Sheet,BS28300,Other Bank Balances,,,,
HSBC MONACO - EUR,3,1211150,Balance Sheet,BS28100,HSBC Bank Balances,,,,
HSBC PRIVATE BANK - EUR,3,1211151,Balance Sheet,BS28100,HSBC Bank Balances,,,,
HSBC PRIVATE BANK - USD,3,1211152,Balance Sheet,BS28100,HSBC Bank Balances,,,,
HSBC - CAD,3,1211153,Balance Sheet,BS28100,HSBC Bank Balances,,,,
